partition,fold,pair,rank_b,rank_c,rank_diff,abs_rank_diff,oracle_kl,spearman_rho_fold
0,1,"{0, 56}",115,113,-2,2,0.002641306957229972,0.73529817650546
0,1,"{0, 62}",44,114,70,70,0.0018292616587132215,0.73529817650546
0,1,"{0, 63}",148,150,2,2,0.0025442237965762615,0.73529817650546
0,1,"{1, 2}",70,79,9,9,0.001971630845218897,0.73529817650546
0,1,"{1, 7}",77,46,-31,31,0.0010197227820754051,0.73529817650546
0,1,"{1, 10}",60,45,-15,15,0.0018571169348433614,0.73529817650546
0,1,"{16, 1}",20,62,42,42,0.0014047524891793728,0.73529817650546
0,1,"{1, 18}",180,186,6,6,0.0050268033519387245,0.73529817650546
0,1,"{1, 22}",200,165,-35,35,0.027974339202046394,0.73529817650546
0,1,"{1, 25}",14,78,64,64,0.0013713677180930972,0.73529817650546
0,1,"{1, 37}",161,198,37,37,0.00327203213237226,0.73529817650546
0,1,"{1, 41}",52,75,23,23,0.0018599816830828786,0.73529817650546
0,1,"{1, 42}",33,73,40,40,0.0012384317815303802,0.73529817650546
0,1,"{1, 43}",89,76,-13,13,0.0011808461276814342,0.73529817650546
0,1,"{1, 47}",32,71,39,39,0.0012992687989026308,0.73529817650546
0,1,"{1, 49}",58,68,10,10,0.0019603248219937086,0.73529817650546
0,1,"{1, 51}",2,86,84,84,0.001506298896856606,0.73529817650546
0,1,"{1, 54}",28,66,38,38,0.001299691037274897,0.73529817650546
0,1,"{1, 55}",94,125,31,31,0.0021523223258554935,0.73529817650546
0,1,"{56, 1}",128,132,4,4,0.0023218593560159206,0.73529817650546
0,1,"{1, 62}",5,91,86,86,0.001470519695430994,0.73529817650546
0,1,"{1, 63}",145,145,0,0,0.002209868049249053,0.73529817650546
0,1,"{2, 7}",122,70,-52,52,0.0015327398432418704,0.73529817650546
0,1,"{2, 10}",7,116,109,109,0.002406827872619033,0.73529817650546
0,1,"{16, 2}",99,44,-55,55,0.001916408073157072,0.73529817650546
0,1,"{2, 18}",187,188,1,1,0.005746053531765938,0.73529817650546
0,1,"{2, 22}",199,164,-35,35,0.0385146327316761,0.73529817650546
0,1,"{25, 2}",75,20,-55,55,0.0018667946569621563,0.73529817650546
0,1,"{2, 37}",170,209,39,39,0.0038538624066859484,0.73529817650546
0,1,"{41, 2}",22,17,-5,5,0.00238556950353086,0.73529817650546
0,1,"{2, 42}",102,16,-86,86,0.0017415941692888737,0.73529817650546
0,1,"{2, 43}",118,15,-103,103,0.0016581923700869083,0.73529817650546
0,1,"{2, 47}",103,0,-103,103,0.0017635688418522477,0.73529817650546
0,1,"{49, 2}",23,13,-10,10,0.002454630797728896,0.73529817650546
0,1,"{2, 51}",65,104,39,39,0.0020493443589657545,0.73529817650546
0,1,"{2, 54}",100,11,-89,89,0.0017973474459722638,0.73529817650546
0,1,"{2, 55}",24,128,104,104,0.0026867918204516172,0.73529817650546
0,1,"{56, 2}",107,117,10,10,0.00275231059640646,0.73529817650546
0,1,"{2, 62}",63,88,25,25,0.0019525405950844288,0.73529817650546
0,1,"{2, 63}",154,190,36,36,0.002722272416576743,0.73529817650546
0,1,"{10, 7}",117,10,-107,107,0.0015188847901299596,0.73529817650546
0,1,"{16, 7}",64,8,-56,56,0.0009273886098526418,0.73529817650546
0,1,"{18, 7}",173,174,1,1,0.004805452656000853,0.73529817650546
0,1,"{22, 7}",192,163,-29,29,0.032725922763347626,0.73529817650546
0,1,"{25, 7}",67,6,-61,61,0.0009273813921026886,0.73529817650546
0,1,"{37, 7}",150,149,-1,1,0.002825955394655466,0.73529817650546
0,1,"{41, 7}",112,4,-108,108,0.00142480933573097,0.73529817650546
0,1,"{42, 7}",48,3,-45,45,0.0007612670306116343,0.73529817650546
0,1,"{43, 7}",35,2,-33,33,0.0006985594518482685,0.73529817650546
0,1,"{47, 7}",49,1,-48,48,0.0008169123902916908,0.73529817650546
0,1,"{49, 7}",120,9,-111,111,0.0015233628218993545,0.73529817650546
0,1,"{51, 7}",90,21,-69,69,0.0010514649329707026,0.73529817650546
0,1,"{54, 7}",51,31,-20,20,0.0008091793279163539,0.73529817650546
0,1,"{55, 7}",129,100,-29,29,0.0017498628003522754,0.73529817650546
0,1,"{56, 7}",138,99,-39,39,0.0018974901176989079,0.73529817650546
0,1,"{62, 7}",79,39,-40,40,0.0010130220325663686,0.73529817650546
0,1,"{63, 7}",131,102,-29,29,0.0018076379783451557,0.73529817650546
0,1,"{16, 10}",87,94,7,7,0.001852389657869935,0.73529817650546
0,1,"{10, 18}",186,187,1,1,0.005491963587701321,0.73529817650546
0,1,"{10, 22}",203,189,-14,14,0.03076045960187912,0.73529817650546
0,1,"{25, 10}",69,98,29,29,0.0018116035498678684,0.73529817650546
0,1,"{10, 37}",169,205,36,36,0.0037362067960202694,0.73529817650546
0,1,"{41, 10}",9,83,74,74,0.0023626291658729315,0.73529817650546
0,1,"{10, 42}",95,36,-59,59,0.0017011105082929134,0.73529817650546
0,1,"{10, 43}",113,35,-78,78,0.0016657888190820813,0.73529817650546
0,1,"{10, 47}",98,34,-64,64,0.0017442904645577073,0.73529817650546
0,1,"{49, 10}",13,106,93,93,0.002386414911597967,0.73529817650546
0,1,"{10, 51}",56,118,62,62,0.001984630012884736,0.73529817650546
0,1,"{10, 54}",93,32,-61,61,0.0017553790239617229,0.73529817650546
0,1,"{10, 55}",29,133,104,104,0.002596802543848753,0.73529817650546
0,1,"{56, 10}",114,134,20,20,0.0027926124166697264,0.73529817650546
0,1,"{10, 62}",55,115,60,60,0.0019087644759565592,0.73529817650546
0,1,"{10, 63}",151,151,0,0,0.002662943908944726,0.73529817650546
0,1,"{16, 18}",178,175,-3,3,0.005143170710653067,0.73529817650546
0,1,"{16, 22}",198,162,-36,36,0.03565840795636177,0.73529817650546
0,1,"{16, 25}",21,27,6,6,0.0012667053379118443,0.73529817650546
0,1,"{16, 37}",159,168,9,9,0.0030834898352622986,0.73529817650546
0,1,"{16, 41}",73,25,-48,48,0.001762646366842091,0.73529817650546
0,1,"{16, 42}",17,24,7,7,0.0011295160511508584,0.73529817650546
0,1,"{16, 43}",76,23,-53,53,0.0010696777608245611,0.73529817650546
0,1,"{16, 47}",12,14,2,2,0.001188142690807581,0.73529817650546
0,1,"{16, 49}",82,43,-39,39,0.0019227579468861222,0.73529817650546
0,1,"{16, 51}",30,82,52,52,0.0014123315922915936,0.73529817650546
0,1,"{16, 54}",10,29,19,19,0.001104490365833044,0.73529817650546
0,1,"{16, 55}",104,123,19,19,0.0021336732897907495,0.73529817650546
0,1,"{16, 56}",135,129,-6,6,0.002250717021524906,0.73529817650546
0,1,"{16, 62}",31,30,-1,1,0.0013317171251401305,0.73529817650546
0,1,"{16, 63}",143,143,0,0,0.002162313088774681,0.73529817650546
0,1,"{18, 22}",195,176,-19,19,0.03892207145690918,0.73529817650546
0,1,"{25, 18}",179,173,-6,6,0.004994175862520933,0.73529817650546
0,1,"{18, 37}",139,140,1,1,0.007096377667039633,0.73529817650546
0,1,"{41, 18}",183,177,-6,6,0.005735575221478939,0.73529817650546
0,1,"{18, 42}",175,181,6,6,0.005045162979513407,0.73529817650546
0,1,"{18, 43}",174,179,5,5,0.005064411088824272,0.73529817650546
0,1,"{18, 47}",176,178,2,2,0.004979172255843878,0.73529817650546
0,1,"{49, 18}",185,172,-13,13,0.005818679463118315,0.73529817650546
0,1,"{18, 51}",182,182,0,0,0.005305050872266293,0.73529817650546
0,1,"{18, 54}",177,180,3,3,0.005156796425580978,0.73529817650546
0,1,"{18, 55}",188,193,5,5,0.0058039408177137375,0.73529817650546
0,1,"{56, 18}",189,191,2,2,0.005908288061618805,0.73529817650546
0,1,"{18, 62}",181,185,4,4,0.005301341414451599,0.73529817650546
0,1,"{18, 63}",162,192,30,30,0.005838837940245867,0.73529817650546
0,1,"{25, 22}",201,167,-34,34,0.034893862903118134,0.73529817650546
0,1,"{37, 22}",206,194,-12,12,0.03787985071539879,0.73529817650546
0,1,"{41, 22}",207,161,-46,46,0.030079731717705727,0.73529817650546
0,1,"{42, 22}",193,158,-35,35,0.03511460870504379,0.73529817650546
0,1,"{43, 22}",191,159,-32,32,0.034172173589468,0.73529817650546
0,1,"{22, 47}",196,160,-36,36,0.03583588823676109,0.73529817650546
0,1,"{49, 22}",208,157,-51,51,0.03701406344771385,0.73529817650546
0,1,"{51, 22}",205,169,-36,36,0.033008940517902374,0.73529817650546
0,1,"{54, 22}",194,166,-28,28,0.03009221702814102,0.73529817650546
0,1,"{22, 55}",209,202,-7,7,0.027408765628933907,0.73529817650546
0,1,"{56, 22}",190,195,5,5,0.036934852600097656,0.73529817650546
