q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
6,51,13,0.8828684617212819,0.9647742963919882,0.0008246907086997423,0.0006500441462268666,0.14184571241330582,0.827488966729473,0.9387308581524266,0.0011486946361501848,0.0007564097707020191,0.20189113953090693,first,oracle,0,0,3,4236
7,51,13,0.8975343212332041,0.9705432603253337,0.0007353381310601241,0.0005767319542758284,0.126477187101265,0.28152859798429414,0.9078321749774559,0.00214692981872168,0.0016840433163319512,0.37733797473563985,first,oracle,0,0,3,4237
8,51,13,0.9054487968689291,0.9741996739377667,0.0006855754874473851,0.0005255770126127281,0.11791807814034623,0.43276976188368593,0.8887174518072152,0.001853468094992787,0.001342646218241775,0.3257600183773721,first,oracle,0,0,3,4238
9,51,13,0.9219350368350134,0.9771593291030631,0.0006482499817256058,0.0004888098485060381,0.11149814046620865,0.27255023457555105,0.8590456312754298,0.0019449090573486034,0.0014920957384744642,0.34183140890087144,first,oracle,0,0,3,4239
1,52,12,0.6113124583281887,0.8261756980902987,0.0021908072171031444,0.0017552248337441396,0.4182598322362502,0.5833002818077446,0.6550055074908293,0.002002764978993969,0.0015863783358728632,0.4713205087122691,first,oracle,0,0,4,4241
2,52,12,0.7070948512161995,0.8852166429445303,0.0015134446052319985,0.001183250862955857,0.28894057027994124,0.6827053543471455,0.6337528720713252,0.0015295911450585267,0.0011734503745515303,0.3599661888300564,first,oracle,0,0,4,4242
3,52,12,0.760973404123966,0.9113807798453117,0.001197581326686028,0.000925527150014213,0.22863726250239996,0.7695021396513935,0.7481253197157123,0.0011719451096928646,0.0008613141359642132,0.27579959260160414,first,oracle,0,0,4,4243
4,52,12,0.7956645017903444,0.93010269907657,0.0010148824773833088,0.0007915098138183803,0.19375715554339795,0.6791984135267718,0.7067428521054784,0.0011700788500356783,0.0008323360641250148,0.2753603965600117,first,oracle,0,0,4,4244
5,52,12,0.8372468699839487,0.946067473491699,0.0008767990398326415,0.0006983291229900727,0.16739483804979635,0.6752322304561111,0.6942208305655623,0.0011365350795633502,0.000819809428711649,0.26746637647829097,first,oracle,0,0,4,4245
6,52,12,0.8553352265711817,0.953186212987662,0.0007884476487588263,0.0006285280274516572,0.15052715671303477,0.6834985909612777,0.6930498545087589,0.0010881002730637548,0.0008138155991755918,0.2560679758280875,first,oracle,0,0,4,4246
7,52,12,0.8633941474256082,0.9600954345839896,0.0007114043801322229,0.0005795855160030387,0.13581837523781912,0.5811293184427514,0.6141931578921171,0.001391742259699592,0.0010301027429937722,0.32752553430781256,first,oracle,0,0,4,4247
8,52,12,0.8787399432028645,0.9650311780942314,0.0006542743999040392,0.0005264451578412033,0.12491135623616707,0.8025675816720593,0.7805372982933759,0.0009230291911748272,0.0006446685633325561,0.21722098823563657,first,oracle,0,0,4,4248
9,52,12,0.8990655636498333,0.9700280475360326,0.0005854300539757181,0.0004608507566213646,0.11176787909513926,0.29101346414779256,0.23122485600038195,0.0018618731907401563,0.0013542456373995236,0.4381637529223186,first,oracle,0,0,4,4249
1,51,13,0.651852588135484,0.8092800200855124,0.0022181643488069533,0.0017669287832815844,0.4100810577394002,0.14520922115858823,0.09282047673186031,0.003386966969968787,0.003140531340425545,0.7208189998656,first,oracle,0,1,0,796101
2,51,13,0.6520075325292639,0.8540219364158619,0.0016163500216257289,0.0012443739220991646,0.2988211973120427,0.6094285461374068,0.630522911714663,0.0016036811079272303,0.001309484053630431,0.3412976337144842,first,oracle,0,1,0,796102
3,51,13,0.7162981326132954,0.887350556514502,0.0012687533340774038,0.0009890362477022318,0.23455958505901195,0.5429886569127075,0.49859077871695673,0.0016397846321488537,0.0011498975713026367,0.34898123572531037,first,oracle,0,1,0,796103
4,51,13,0.7474700376329998,0.9132408971268914,0.0010672007939237726,0.0008386801922617325,0.1972977478553263,0.560692472084877,0.5616355702094341,0.0016918941414680647,0.0012458426215325525,0.3600712536451801,first,oracle,0,1,0,796104
5,51,13,0.7817800298540747,0.933848191550589,0.0009161567585080324,0.0007437737868691597,0.16937362318808563,0.5820887972786707,0.4462534112883357,0.001612976827391337,0.0010767903019134346,0.3432759616009266,first,oracle,0,1,0,796105
6,51,13,0.7967444959946688,0.9449598947366866,0.0008298321179995918,0.000691806280545597,0.15341443607568123,0.47933079578649196,0.36079535183969014,0.001505216236077516,0.0009918936853376178,0.32034220336103747,first,oracle,0,1,0,796106
7,51,13,0.8346288326193729,0.9542088647635827,0.0007364671446250206,0.0005968384800585867,0.1361536740145436,0.49915906877932187,0.4597041815205425,0.0013999763069323641,0.001051321666528515,0.29794489593378665,first,oracle,0,1,0,796107
8,51,13,0.8338560459113045,0.9590476643582528,0.0006909139487255036,0.0005702444476555153,0.12773206956132468,0.4566952035306466,0.4161405363536454,0.0014957883319770557,0.0010648458303851114,0.31833574375727425,first,oracle,0,1,0,796108
9,51,13,0.8718118636594744,0.9641675626249956,0.0006304080474918924,0.0005172382652225697,0.116546097705497,0.47407023356390443,0.45287078475164383,0.00242816717208273,0.0022399838757930744,0.5167658994038804,first,oracle,0,1,0,796109
1,51,13,0.7166686321230569,0.9289783914589144,0.0021857956816039308,0.0017676725560230094,0.34513014683287324,0.5014099824226406,0.9763507805939863,0.0022438666112439606,0.001932393895291578,0.32201642760998356,first,oracle,0,1,1,796111
2,51,13,0.8144533266968984,0.9581411556479278,0.001454036180531431,0.0011643728614891835,0.22958766215462567,0.7700021497489851,0.9883298855866586,0.0018087728892989972,0.0016080045662022547,0.2595762962250901,first,oracle,0,1,1,796112
3,51,13,0.8122982284704703,0.9662884070905522,0.0011621912195604223,0.000909247565330258,0.18350627628673563,0.6538145398904892,0.976903339131266,0.0013244278267556177,0.0009516283730102391,0.1900681240417678,first,oracle,0,1,1,796113
4,51,13,0.8161314037163265,0.9723340707035156,0.000986026203916102,0.000768177064431598,0.15569038378230682,0.7276141579939047,0.9805329760110997,0.0011249091740619076,0.0008515200992726183,0.16143527953129688,first,oracle,0,1,1,796114
5,51,13,0.8384191438966072,0.9768231255013463,0.0008624229758636403,0.0006838408345303131,0.1361738294191561,0.4168110370642016,0.9718384016845243,0.0016908272013373706,0.0014474226388370105,0.24264995626393296,first,oracle,0,1,1,796115
6,51,13,0.8570324825707115,0.9805115209848989,0.0007704383367631765,0.0006242716970787775,0.12164974911910889,0.5482239279707634,0.9740767669340051,0.0014757766207093039,0.001113804393787282,0.21178813079610273,first,oracle,0,1,1,796116
7,51,13,0.8685505785771073,0.9823009505707607,0.0007269764841343617,0.0005664953240224593,0.11478726160224975,0.6772594494113481,0.9862026611460221,0.0014726169502170153,0.0012646781907024744,0.21133468770850874,first,oracle,0,1,1,796117
8,51,13,0.8935790598519352,0.9855584740631712,0.0006500952374993622,0.0005190272971320365,0.1026479586641265,0.5650172612197929,0.9779269235626462,0.0014374051584098641,0.0011209678382739909,0.2062814571150916,first,oracle,0,1,1,796118
9,51,13,0.8797394331876315,0.9865526992794407,0.0006211475921178001,0.0004870050284646826,0.09807721804775135,0.6494138772619785,0.9778053591695555,0.0014241377712537417,0.001161476235706387,0.20437745952703326,first,oracle,0,1,1,796119
1,51,13,0.724288001069911,0.8314584558719038,0.002345620770666722,0.0017945072391215484,0.3926086222696444,0.7657532341076644,0.8732434605056062,0.002360405018819673,0.0017913958446546942,0.3765195215618642,first,oracle,0,1,2,796121
2,51,13,0.8149179951751888,0.9113732901845131,0.0015428966456618592,0.0012081097500234287,0.25824913128884763,0.8858609744685694,0.8781269187628552,0.0017464009014962897,0.0012358272994144916,0.2785767809523651,first,oracle,0,1,2,796122
3,51,13,0.8496796443336468,0.9383417053012731,0.0012223897642222393,0.0009462438392521582,0.20460287835505292,0.8733418480253922,0.857262774736256,0.0017412534312409092,0.001178930257232332,0.2777556832922784,first,oracle,0,1,2,796123
