layer,pair,kl_10,kl_40,kl_70,kl_100,category
first,"(3, 21)",0.0017029887545690122,0.0020160514625878517,0.002529377907347188,0.0027837102517540083,Stable
first,"(7, 9)",0.0011781628896306519,0.0014672757365427904,0.0017069255186081614,0.001962549105689117,Stable
first,"(9, 37)",0.0014961261489543408,0.0023330494301825205,0.0028534072456358165,0.0038726567781002348,Stable
first,"(28, 59)",0.001664367802736699,0.002628308036654797,0.002769658308958767,0.0032649086060143094,Stable
first,"(21, 38)",0.0040033260742121865,0.003831489652121589,0.0035203205552916906,0.003712025132527419,Stable
first,"(10, 19)",0.002919562869361774,0.003029148642422416,0.003626908470478895,0.005001367464910017,Stable
first,"(2, 42)",0.0010388189583174566,0.0027425230024991066,0.0028513889612653757,0.003678073100443457,Stable
first,"(32, 43)",0.0014634190846772247,0.0030972601089809546,0.002878940864245692,0.0031131797081499356,Stable
first,"(24, 39)",0.0013318059683175524,0.0019320471316384708,0.0023229222233584297,0.002459392680212745,Stable
first,"(13, 48)",0.0016245561596838092,0.0027105222980311565,0.003360735096241304,0.004001371146677819,Stable
first,"(35, 48)",0.0017034908062667571,0.002411042796337446,0.0030353691485690763,0.003670714064280787,Stable
first,"(32, 61)",0.0014939084669012665,0.0036902016738981466,0.0036589631526331174,0.004335892862566675,Stable
first,"(1, 55)",0.0013200456612051234,0.0020588453325388256,0.0025396407251000097,0.003154154357475383,Stable
first,"(13, 57)",0.0024411934870039917,0.005388733935120208,0.005162526548753673,0.009597090397651494,Stable
first,"(17, 18)",0.0024353416829708797,0.004928219452031402,0.005285994872999476,0.006210490543781526,Stable
first,"(21, 24)",0.0015250917285311463,0.0020730834153073244,0.0022873568074677922,0.0025554556249137487,Stable
first,"(29, 37)",0.0013876749850059667,0.0034502775069491223,0.004056767135356383,0.005679093559678676,Stable
first,"(31, 46)",0.0033056451715286522,0.003665007154678208,0.00400703555070813,0.004597158707512926,Stable
first,"(12, 60)",0.001835606975971276,0.0029563451705742426,0.003337203461988688,0.004138965162311506,Stable
first,"(24, 43)",0.001334911339689706,0.0018799802019569107,0.0020781017197605716,0.002390168821778731,Stable
first,"(43, 56)",0.0016831400312448106,0.0022188719284638603,0.0024565159105474515,0.002832271749852993,Stable
first,"(24, 52)",0.0015251579617815262,0.0019288770798014225,0.0022184546949540994,0.0022436597537200506,Stable
first,"(35, 52)",0.001637167231628705,0.0018281876181359489,0.002202194801791526,0.0023256133817713496,Stable
first,"(16, 57)",0.0038269977019285257,0.005536938368280463,0.005774885887628657,0.00946902705551926,Stable
first,"(17, 31)",0.002407318141367534,0.003722647088590212,0.0042984694723374305,0.00546816632110422,Stable
first,"(9, 27)",0.0015309895050443832,0.003081148107053497,0.0037656761453470954,0.0032840992814001154,Stable
first,"(28, 40)",0.002026622044715459,0.002604955999122389,0.0028469114452852884,0.003477867036789531,Stable
first,"(6, 21)",0.0030589222249111582,0.005746968727523316,0.009151090750499153,0.013710302125645628,Increasing Damage
