layer,expert,mean_kl_100,median_kl_100,low_damage_partners_100
last,2,0.005964166065162634,0.005361654833483911,25
last,3,0.008173294802767373,0.00767086503009825,0
last,4,0.0035826683601114413,0.0031071872398685013,48
last,5,0.0033900999820231418,0.0029562341260079557,49
last,6,0.005443112569840555,0.004982280657107183,32
last,7,0.00949534779314867,0.008794563897920504,0
last,8,0.0029152925603693103,0.0024639467252196715,53
last,9,0.0041613001750026996,0.0036659344657346423,44
last,10,0.005929776991259187,0.005460611086319164,26
last,11,0.003457281097942372,0.003094418420396217,49
last,12,0.0039645916752582425,0.0034602961845126732,46
last,13,0.007394422815919984,0.006972017164370418,2
last,14,0.004728643254169601,0.0042001208267376,39
last,15,0.005158034040940789,0.004708217901799665,35
last,16,0.007087377743516875,0.006429183167003821,8
last,17,0.0051382765660924,0.0046988859948036855,35
last,18,0.002789648592086108,0.0024654247300357115,54
last,19,0.002794031408601991,0.0022910527384385707,53
last,20,0.004110856890155336,0.003691141595493571,46
last,21,0.007910400002795368,0.0074874210959584185,0
last,22,0.0033889742110936876,0.0030095671053905746,50
last,23,0.004271883625694203,0.0038276688421849656,43
last,24,0.002826535746763835,0.002365230930125723,54
last,25,0.003104960595292093,0.002675323974677583,51
last,26,0.008029002996836265,0.0074369786457495965,0
last,27,0.0056693151816166075,0.005139065280708122,29
last,28,0.006594729389322358,0.0059329133138380724,19
last,29,0.0045804667304465176,0.004157102007803787,39
last,30,0.0030330008551781905,0.0025725548183087987,51
last,31,0.004888372652661324,0.004343929067964784,38
last,32,0.0027100085488820204,0.0023053257856984646,54
last,33,0.0028491590910539816,0.002389874495159055,53
last,34,0.0034859363937286038,0.003037793919735989,49
last,35,0.004643149943416603,0.004261754587355108,40
last,36,0.0053878858559523206,0.004873837706764677,33
last,37,0.003073992074761401,0.002654546529250255,53
last,38,0.003992150431540556,0.0035343371020171523,45
last,39,0.0027040895379983423,0.002400203835565952,55
last,40,0.0076668678447399325,0.007163944844881503,0
last,41,0.005905479778377438,0.005390152473325152,25
last,42,0.0034896068147519934,0.002978758353957842,48
last,43,0.005638882969239626,0.0051469992312547985,30
last,44,0.0027421903469535894,0.0023031344871745183,54
last,45,0.005837276706052158,0.005427475757129724,26
last,46,0.004300511002010413,0.003890644860233631,44
last,47,0.006523646215412597,0.006097998279768313,20
last,48,0.007281432642969577,0.006754515228466393,8
last,49,0.010035593549071308,0.00948480602888178,0
last,50,0.003028094514644832,0.002600464845575657,52
last,51,0.0031277349908778573,0.0026854104982022976,50
last,52,0.007058400867294729,0.006641227274062407,10
last,53,0.004998565853326793,0.004302060546449274,36
last,54,0.004912655034738036,0.004327929257320998,37
last,55,0.008582827401320338,0.008079797863758342,0
last,56,0.007611329275267054,0.006984862596994842,10
last,57,0.004266792420997804,0.003855817028657339,41
last,58,0.0036962711261762336,0.0032719204831146735,47
last,59,0.011903584514513364,0.011296725511791518,0
last,60,0.006242884816325601,0.005785550488086162,23
last,61,0.004699270329561051,0.00420644082506944,39
last,62,0.004208478767226507,0.0038246751029874337,42
last,63,0.0035621325318302387,0.003130679859617788,48
