Layer,Expert_A,Expert_B,Oracle_KL,Pred_XGBoost_B,Residual_XGBoost_B,AbsResidual_XGBoost_B,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap
last,46,50,0.002208376611068383,0.003418555250391364,-0.001210178639322981,0.001210178639322981,0.8711923808678913,-0.2312309459972702,3.9158703568731954,1.4869083674632702,2.039585155725353,-0.6201258771612529,1.33851589003281
last,46,51,0.0024226679929761335,0.003262203186750412,-0.0008395351937742785,0.0008395351937742785,0.6700099122914682,-0.09794438856820131,1.0431924577369263,1.4774662887987746,0.3221312999465527,-0.2957389857483902,0.32502271359247825
last,46,52,0.005562064781233591,0.005004062782973051,0.00055800199826054,0.00055800199826054,0.5907448483429486,-0.25059843945273813,-2.6099134300893603,0.8975494032006691,-0.5650396646530116,0.1455545105982783,-0.4043304537790413
last,46,53,0.005149228555838002,0.004437098279595375,0.0007121302762426269,0.0007121302762426269,0.6357733162525036,-0.44247547253336594,0.07855243673187448,1.3713634886651758,-0.5563572287207097,0.15105259350358113,-0.44824285186279705
last,46,54,0.004638787996129689,0.004925410728901625,-0.0002866227327719354,0.0002866227327719354,0.561862855521232,-0.9817312975168342,-3.83286117147575,1.0511864991102338,2.707043414520597,0.11893221442523357,3.771071637877835
last,46,55,0.007508764581613743,0.006060958374291658,0.0014478062073220842,0.0014478062073220842,0.5995109129716939,0.12596905931958818,-0.273871268511741,1.0888952901030513,-1.3058319986524662,0.8183462345366418,-0.4585686386878363
last,46,56,0.006750334002808531,0.006150348577648401,0.0005999854251601301,0.0005999854251601301,0.5740277801230455,-0.0016197567692323236,0.6681723118856926,0.7488664626748684,0.05674259066192303,0.7300875352673084,0.6311813191649207
last,46,57,0.003964034685230471,0.004294779151678085,-0.00033074446644761404,0.00033074446644761404,0.6904066005326376,-0.054338821133934206,-0.11932995651567961,1.1750105120494925,-0.44491854786565965,0.06134703031179925,-0.45531161947392723
last,46,58,0.002861380049776087,0.005121117923408747,-0.0022597378736326596,0.0022597378736326596,1.096647236088705,-0.1373658104354832,-1.098692005471081,0.9337888455634987,-0.9896129347361532,0.25030745858352044,-0.4580807037675496
last,46,59,0.008326427975698356,0.008292008191347122,3.441978435123408e-05,3.441978435123408e-05,0.6959693795127326,0.09434548500023611,-2.16043642215791,1.1367531222583045,0.2995681107109334,1.4627794255950233,1.471733530128425
last,46,60,0.005114606190825493,0.006226505618542433,-0.0011118994277169395,0.0011118994277169395,1.00801275063946,-0.20982680333834933,-0.3086378988755975,0.9071002059030105,-0.8596070863448345,0.6039210012298346,-0.39280966795065386
last,46,61,0.0038563315621729486,0.005527464672923088,-0.0016711331107501395,0.0016711331107501395,0.6477008297543148,-0.5718361519362574,-1.435164014628181,1.3960964867264012,-0.7673503327634518,0.5434420892715042,-0.30962225434939905
last,46,62,0.003691317960022822,0.004409369546920061,-0.0007180515868972391,0.0007180515868972391,0.5971267208209282,0.15834848019902314,13.388150450887428,1.4226323270151824,2.977458340700191,-0.019387976560804324,3.438097279810522
last,46,63,0.002686667730550886,0.004111131653189659,-0.001424463922638773,0.001424463922638773,0.6172885182497811,-0.9013120528396362,0.6123955620979502,1.3147750064486259,1.7062163413691873,-0.25117557693698905,2.4589186659848092
