layer,expert_idx,neuron_idx,stratum,T_K,base_acc,int_acc,base_loss,int_loss,baseline_margin,ablated_margin,delta_acc,delta_loss,margin_damage
8,2,17,Q2,3.747694063349627e-05,0.478,0.482,14.2642890625,14.260359375,-0.8849765625,-0.8813984375,-0.0040000000000000036,-0.003929687499999446,-0.0035781249999999876
8,2,913,Q2,4.099116267752834e-05,0.478,0.478,14.2642890625,14.26053125,-0.8849765625,-0.88146875,0.0,-0.0037578124999999574,-0.003507812499999985
8,41,872,Q2,3.613023363868706e-05,0.478,0.478,14.2642890625,14.2670703125,-0.8849765625,-0.8888203125,0.0,0.0027812499999999574,0.0038437500000000346
8,51,499,Q2,5.258255987428129e-05,0.478,0.482,14.2642890625,14.2658515625,-0.8849765625,-0.8852890625,-0.0040000000000000036,0.0015625000000003553,0.00031249999999993783
8,54,46,Q2,5.028018858865835e-05,0.478,0.48,14.2642890625,14.263421875,-0.8849765625,-0.882859375,-0.0020000000000000018,-0.0008671874999990337,-0.0021171875000000062
8,40,958,Q2,3.442859815550037e-05,0.478,0.482,14.2642890625,14.2665,-0.8849765625,-0.8861953125,-0.0040000000000000036,0.002210937500001009,0.0012187500000000462
8,20,213,Q3,6.653960736002773e-05,0.478,0.484,14.2642890625,14.265078125,-0.8849765625,-0.889015625,-0.006000000000000005,0.0007890625000008811,0.004039062499999968
8,31,684,Q3,6.597594619961455e-05,0.478,0.478,14.2642890625,14.262546875,-0.8849765625,-0.8797734375,0.0,-0.001742187499999659,-0.005203124999999975
8,4,169,Q3,5.499955295817927e-05,0.478,0.48,14.2642890625,14.2656328125,-0.8849765625,-0.8868203125,-0.0020000000000000018,0.001343750000000199,0.0018437500000000329
8,62,524,Q3,6.372881034621969e-05,0.478,0.478,14.2642890625,14.2637890625,-0.8849765625,-0.8889375,0.0,-0.0004999999999988347,0.003960937500000039
8,7,200,Q3,5.754215089837089e-05,0.478,0.478,14.2642890625,14.2614921875,-0.8849765625,-0.8814765625,0.0,-0.002796874999999588,-0.0035000000000000586
8,62,769,Q3,6.094439231674187e-05,0.478,0.482,14.2642890625,14.2730078125,-0.8849765625,-0.890515625,-0.0040000000000000036,0.008718749999999886,0.005539062500000025
